Id	Name	Type	HP	Attack	Defense	Sp.Atk	Sp.Def	Speed	Generation	Legendary
82	Graveler	Rock	55	95	115	45	45	35	1	0
83	Golem	Rock	80	120	130	55	65	45	1	0
84	Ponyta	Fire	50	85	55	65	65	90	1	0
85	Rapidash	Fire	65	100	70	80	80	105	1	0
86	Slowpoke	Water	90	65	65	40	40	15	1	0
87	Slowbro	Water	95	75	110	100	80	30	1	0
88	SlowbroMega Slowbro	Water	95	75	180	130	80	30	1	0
89	Magnemite	Electric	25	35	70	95	55	45	1	0
90	Magneton	Electric	50	60	95	120	70	70	1	0
91	Farfetch'd	Normal	52	65	55	58	62	60	1	0
92	Doduo	Normal	35	85	45	35	35	75	1	0
93	Dodrio	Normal	60	110	70	60	60	100	1	0
94	Seel	Water	65	45	55	45	70	45	1	0
95	Dewgong	Water	90	70	80	70	95	70	1	0
96	Grimer	Poison	80	80	50	40	50	25	1	0
97	Muk	Poison	105	105	75	65	100	50	1	0
98	Shellder	Water	30	65	100	45	25	40	1	0
99	Cloyster	Water	50	95	180	85	45	70	1	0
100	Gastly	Ghost	30	35	30	100	35	80	1	0
101	Haunter	Ghost	45	50	45	115	55	95	1	0
102	Gengar	Ghost	60	65	60	130	75	110	1	0
103	GengarMega Gengar	Ghost	60	65	80	170	95	130	1	0
104	Onix	Rock	35	45	160	30	45	70	1	0
105	Drowzee	Psychic	60	48	45	43	90	42	1	0
106	Hypno	Psychic	85	73	70	73	115	67	1	0
107	Krabby	Water	30	105	90	25	25	50	1	0
108	Kingler	Water	55	130	115	50	50	75	1	0
109	Voltorb	Electric	40	30	50	55	55	100	1	0
110	Electrode	Electric	60	50	70	80	80	140	1	0
111	Exeggcute	Grass	60	40	80	60	45	40	1	0
112	Exeggutor	Grass	95	95	85	125	65	55	1	0
113	Cubone	Ground	50	50	95	40	50	35	1	0
114	Marowak	Ground	60	80	110	50	80	45	1	0
115	Hitmonlee	Fighting	50	120	53	35	110	87	1	0
116	Hitmonchan	Fighting	50	105	79	35	110	76	1	0
117	Lickitung	Normal	90	55	75	60	75	30	1	0
118	Koffing	Poison	40	65	95	60	45	35	1	0
119	Weezing	Poison	65	90	120	85	70	60	1	0
120	Rhyhorn	Ground	80	85	95	30	30	25	1	0
121	Rhydon	Ground	105	130	120	45	45	40	1	0
122	Chansey	Normal	250	5	5	35	105	50	1	0
123	Tangela	Grass	65	55	115	100	40	60	1	0
124	Kangaskhan	Normal	105	95	80	40	80	90	1	0
125	KangaskhanMega Kangaskhan	Normal	105	125	100	60	100	100	1	0
126	Horsea	Water	30	40	70	70	25	60	1	0
127	Seadra	Water	55	65	95	95	45	85	1	0
128	Goldeen	Water	45	67	60	35	50	63	1	0
129	Seaking	Water	80	92	65	65	80	68	1	0
130	Staryu	Water	30	45	55	70	55	85	1	0
131	Starmie	Water	60	75	85	100	85	115	1	0
132	Mr. Mime	Psychic	40	45	65	100	120	90	1	0
133	Scyther	Bug	70	110	80	55	80	105	1	0
134	Jynx	Ice	65	50	35	115	95	95	1	0
135	Electabuzz	Electric	65	83	57	95	85	105	1	0
136	Magmar	Fire	65	95	57	100	85	93	1	0
137	Pinsir	Bug	65	125	100	55	70	85	1	0
138	PinsirMega Pinsir	Bug	65	155	120	65	90	105	1	0
139	Tauros	Normal	75	100	95	40	70	110	1	0
140	Magikarp	Water	20	10	55	15	20	80	1	0
141	Gyarados	Water	95	125	79	60	100	81	1	0
142	GyaradosMega Gyarados	Water	95	155	109	70	130	81	1	0
143	Lapras	Water	130	85	80	85	95	60	1	0
144	Ditto	Normal	48	48	48	48	48	48	1	0
145	Eevee	Normal	55	55	50	45	65	55	1	0
146	Vaporeon	Water	130	65	60	110	95	65	1	0
147	Jolteon	Electric	65	65	60	110	95	130	1	0
148	Flareon	Fire	65	130	60	95	110	65	1	0
149	Porygon	Normal	65	60	70	85	75	40	1	0
150	Omanyte	Rock	35	40	100	90	55	35	1	0
151	Omastar	Rock	70	60	125	115	70	55	1	0
152	Kabuto	Rock	30	80	90	55	45	55	1	0
153	Kabutops	Rock	60	115	105	65	70	80	1	0
154	Aerodactyl	Rock	80	105	65	60	75	130	1	0
155	AerodactylMega Aerodactyl	Rock	80	135	85	70	95	150	1	0
156	Snorlax	Normal	160	110	65	65	110	30	1	0
157	Articuno	Ice	90	85	100	95	125	85	1	1
158	Zapdos	Electric	90	90	85	125	90	100	1	1
159	Moltres	Fire	90	100	90	125	85	90	1	1
160	Dratini	Dragon	41	64	45	50	50	50	1	0
161	Dragonair	Dragon	61	84	65	70	70	70	1	0
162	Dragonite	Dragon	91	134	95	100	100	80	1	0
163	Mewtwo	Psychic	106	110	90	154	90	130	1	1
164	MewtwoMega Mewtwo X	Psychic	106	190	100	154	100	130	1	1
165	MewtwoMega Mewtwo Y	Psychic	106	150	70	194	120	140	1	1
166	Mew	Psychic	100	100	100	100	100	100	1	0
167	Chikorita	Grass	45	49	65	49	65	45	2	0
168	Bayleef	Grass	60	62	80	63	80	60	2	0
169	Meganium	Grass	80	82	100	83	100	80	2	0
170	Cyndaquil	Fire	39	52	43	60	50	65	2	0
171	Quilava	Fire	58	64	58	80	65	80	2	0
172	Typhlosion	Fire	78	84	78	109	85	100	2	0
173	Totodile	Water	50	65	64	44	48	43	2	0
174	Croconaw	Water	65	80	80	59	63	58	2	0
175	Feraligatr	Water	85	105	100	79	83	78	2	0
176	Sentret	Normal	35	46	34	35	45	20	2	0
177	Furret	Normal	85	76	64	45	55	90	2	0
178	Hoothoot	Normal	60	30	30	36	56	50	2	0
179	Noctowl	Normal	100	50	50	76	96	70	2	0
180	Ledyba	Bug	40	20	30	40	80	55	2	0
181	Ledian	Bug	55	35	50	55	110	85	2	0
182	Spinarak	Bug	40	60	40	40	40	30	2	0
183	Ariados	Bug	70	90	70	60	60	40	2	0
184	Crobat	Poison	85	90	80	70	80	130	2	0
185	Chinchou	Water	75	38	38	56	56	67	2	0
186	Lanturn	Water	125	58	58	76	76	67	2	0
187	Pichu	Electric	20	40	15	35	35	60	2	0
188	Cleffa	Fairy	50	25	28	45	55	15	2	0
189	Igglybuff	Normal	90	30	15	40	20	15	2	0
190	Togepi	Fairy	35	20	65	40	65	20	2	0
191	Togetic	Fairy	55	40	85	80	105	40	2	0
192	Natu	Psychic	40	50	45	70	45	70	2	0
193	Xatu	Psychic	65	75	70	95	70	95	2	0
194	Mareep	Electric	55	40	40	65	45	35	2	0
195	Flaaffy	Electric	70	55	55	80	60	45	2	0
196	Ampharos	Electric	90	75	85	115	90	55	2	0
197	AmpharosMega Ampharos	Electric	90	95	105	165	110	45	2	0
198	Bellossom	Grass	75	80	95	90	100	50	2	0
199	Marill	Water	70	20	50	20	50	40	2	0
200	Azumarill	Water	100	50	80	60	80	50	2	0
201	Sudowoodo	Rock	70	100	115	30	65	30	2	0
202	Politoed	Water	90	75	75	90	100	70	2	0
203	Hoppip	Grass	35	35	40	35	55	50	2	0
204	Skiploom	Grass	55	45	50	45	65	80	2	0
205	Jumpluff	Grass	75	55	70	55	95	110	2	0
206	Aipom	Normal	55	70	55	40	55	85	2	0
207	Sunkern	Grass	30	30	30	30	30	30	2	0
208	Sunflora	Grass	75	75	55	105	85	30	2	0
209	Yanma	Bug	65	65	45	75	45	95	2	0
210	Wooper	Water	55	45	45	25	25	15	2	0
211	Quagsire	Water	95	85	85	65	65	35	2	0
212	Espeon	Psychic	65	65	60	130	95	110	2	0
213	Umbreon	Dark	95	65	110	60	130	65	2	0
214	Murkrow	Dark	60	85	42	85	42	91	2	0
215	Slowking	Water	95	75	80	100	110	30	2	0
216	Misdreavus	Ghost	60	60	60	85	85	85	2	0
217	Unown	Psychic	48	72	48	72	48	48	2	0
218	Wobbuffet	Psychic	190	33	58	33	58	33	2	0
219	Girafarig	Normal	70	80	65	90	65	85	2	0
220	Pineco	Bug	50	65	90	35	35	15	2	0
221	Forretress	Bug	75	90	140	60	60	40	2	0
222	Dunsparce	Normal	100	70	70	65	65	45	2	0
223	Gligar	Ground	65	75	105	35	65	85	2	0
224	Steelix	Steel	75	85	200	55	65	30	2	0
225	SteelixMega Steelix	Steel	75	125	230	55	95	30	2	0
226	Snubbull	Fairy	60	80	50	40	40	30	2	0
227	Granbull	Fairy	90	120	75	60	60	45	2	0
228	Qwilfish	Water	65	95	75	55	55	85	2	0
229	Scizor	Bug	70	130	100	55	80	65	2	0
230	ScizorMega Scizor	Bug	70	150	140	65	100	75	2	0
231	Shuckle	Bug	20	10	230	10	230	5	2	0
232	Heracross	Bug	80	125	75	40	95	85	2	0
233	HeracrossMega Heracross	Bug	80	185	115	40	105	75	2	0
234	Sneasel	Dark	55	95	55	35	75	115	2	0
235	Teddiursa	Normal	60	80	50	50	50	40	2	0
236	Ursaring	Normal	90	130	75	75	75	55	2	0
237	Slugma	Fire	40	40	40	70	40	20	2	0
238	Magcargo	Fire	50	50	120	80	80	30	2	0
239	Swinub	Ice	50	50	40	30	30	50	2	0
240	Piloswine	Ice	100	100	80	60	60	50	2	0
241	Corsola	Water	55	55	85	65	85	35	2	0
242	Remoraid	Water	35	65	35	65	35	65	2	0
243	Octillery	Water	75	105	75	105	75	45	2	0
244	Delibird	Ice	45	55	45	65	45	75	2	0
245	Mantine	Water	65	40	70	80	140	70	2	0
246	Skarmory	Steel	65	80	140	40	70	70	2	0
247	Houndour	Dark	45	60	30	80	50	65	2	0
248	Houndoom	Dark	75	90	50	110	80	95	2	0
249	HoundoomMega Houndoom	Dark	75	90	90	140	90	115	2	0
250	Kingdra	Water	75	95	95	95	95	85	2	0
251	Phanpy	Ground	90	60	60	40	40	40	2	0
252	Donphan	Ground	90	120	120	60	60	50	2	0
253	Porygon2	Normal	85	80	90	105	95	60	2	0
254	Stantler	Normal	73	95	62	85	65	85	2	0
255	Smeargle	Normal	55	20	35	20	45	75	2	0
256	Tyrogue	Fighting	35	35	35	35	35	35	2	0
257	Hitmontop	Fighting	50	95	95	35	110	70	2	0
258	Smoochum	Ice	45	30	15	85	65	65	2	0
259	Elekid	Electric	45	63	37	65	55	95	2	0
260	Magby	Fire	45	75	37	70	55	83	2	0
261	Miltank	Normal	95	80	105	40	70	100	2	0
262	Blissey	Normal	255	10	10	75	135	55	2	0
263	Raikou	Electric	90	85	75	115	100	115	2	1
264	Entei	Fire	115	115	85	90	75	100	2	1
265	Suicune	Water	100	75	115	90	115	85	2	1
266	Larvitar	Rock	50	64	50	45	50	41	2	0
267	Pupitar	Rock	70	84	70	65	70	51	2	0
268	Tyranitar	Rock	100	134	110	95	100	61	2	0
269	TyranitarMega Tyranitar	Rock	100	164	150	95	120	71	2	0
270	Lugia	Psychic	106	90	130	90	154	110	2	1
271	Ho-oh	Fire	106	130	90	110	154	90	2	1
272	Celebi	Psychic	100	100	100	100	100	100	2	0
273	Treecko	Grass	40	45	35	65	55	70	3	0
274	Grovyle	Grass	50	65	45	85	65	95	3	0
275	Sceptile	Grass	70	85	65	105	85	120	3	0
276	SceptileMega Sceptile	Grass	70	110	75	145	85	145	3	0
277	Torchic	Fire	45	60	40	70	50	45	3	0
278	Combusken	Fire	60	85	60	85	60	55	3	0
279	Blaziken	Fire	80	120	70	110	70	80	3	0
280	BlazikenMega Blaziken	Fire	80	160	80	130	80	100	3	0
281	Mudkip	Water	50	70	50	50	50	40	3	0
282	Marshtomp	Water	70	85	70	60	70	50	3	0
283	Swampert	Water	100	110	90	85	90	60	3	0
284	SwampertMega Swampert	Water	100	150	110	95	110	70	3	0
285	Poochyena	Dark	35	55	35	30	30	35	3	0
286	Mightyena	Dark	70	90	70	60	60	70	3	0
287	Zigzagoon	Normal	38	30	41	30	41	60	3	0
288	Linoone	Normal	78	70	61	50	61	100	3	0
289	Wurmple	Bug	45	45	35	20	30	20	3	0
290	Silcoon	Bug	50	35	55	25	25	15	3	0
291	Beautifly	Bug	60	70	50	100	50	65	3	0
292	Cascoon	Bug	50	35	55	25	25	15	3	0
293	Dustox	Bug	60	50	70	50	90	65	3	0
294	Lotad	Water	40	30	30	40	50	30	3	0
295	Lombre	Water	60	50	50	60	70	50	3	0
296	Ludicolo	Water	80	70	70	90	100	70	3	0
297	Seedot	Grass	40	40	50	30	30	30	3	0
298	Nuzleaf	Grass	70	70	40	60	40	60	3	0
299	Shiftry	Grass	90	100	60	90	60	80	3	0
300	Taillow	Normal	40	55	30	30	30	85	3	0
301	Swellow	Normal	60	85	60	50	50	125	3	0
302	Wingull	Water	40	30	30	55	30	85	3	0
303	Pelipper	Water	60	50	100	85	70	65	3	0
304	Ralts	Psychic	28	25	25	45	35	40	3	0
305	Kirlia	Psychic	38	35	35	65	55	50	3	0
306	Gardevoir	Psychic	68	65	65	125	115	80	3	0
307	GardevoirMega Gardevoir	Psychic	68	85	65	165	135	100	3	0
308	Surskit	Bug	40	30	32	50	52	65	3	0
309	Masquerain	Bug	70	60	62	80	82	60	3	0
310	Shroomish	Grass	60	40	60	40	60	35	3	0
311	Breloom	Grass	60	130	80	60	60	70	3	0
312	Slakoth	Normal	60	60	60	35	35	30	3	0
313	Vigoroth	Normal	80	80	80	55	55	90	3	0
314	Slaking	Normal	150	160	100	95	65	100	3	0
315	Nincada	Bug	31	45	90	30	30	40	3	0
316	Ninjask	Bug	61	90	45	50	50	160	3	0
317	Shedinja	Bug	1	90	45	30	30	40	3	0
318	Whismur	Normal	64	51	23	51	23	28	3	0
319	Loudred	Normal	84	71	43	71	43	48	3	0
320	Exploud	Normal	104	91	63	91	73	68	3	0
321	Makuhita	Fighting	72	60	30	20	30	25	3	0
322	Hariyama	Fighting	144	120	60	40	60	50	3	0
323	Azurill	Normal	50	20	40	20	40	20	3	0
324	Nosepass	Rock	30	45	135	45	90	30	3	0
325	Skitty	Normal	50	45	45	35	35	50	3	0
326	Delcatty	Normal	70	65	65	55	55	70	3	0
327	Sableye	Dark	50	75	75	65	65	50	3	0
328	SableyeMega Sableye	Dark	50	85	125	85	115	20	3	0
329	Mawile	Steel	50	85	85	55	55	50	3	0
330	MawileMega Mawile	Steel	50	105	125	55	95	50	3	0
331	Aron	Steel	50	70	100	40	40	30	3	0
332	Lairon	Steel	60	90	140	50	50	40	3	0
333	Aggron	Steel	70	110	180	60	60	50	3	0
334	AggronMega Aggron	Steel	70	140	230	60	80	50	3	0
335	Meditite	Fighting	30	40	55	40	55	60	3	0
336	Medicham	Fighting	60	60	75	60	75	80	3	0
337	MedichamMega Medicham	Fighting	60	100	85	80	85	100	3	0
338	Electrike	Electric	40	45	40	65	40	65	3	0
339	Manectric	Electric	70	75	60	105	60	105	3	0
340	ManectricMega Manectric	Electric	70	75	80	135	80	135	3	0
341	Plusle	Electric	60	50	40	85	75	95	3	0
342	Minun	Electric	60	40	50	75	85	95	3	0
343	Volbeat	Bug	65	73	55	47	75	85	3	0
344	Illumise	Bug	65	47	55	73	75	85	3	0
345	Roselia	Grass	50	60	45	100	80	65	3	0
346	Gulpin	Poison	70	43	53	43	53	40	3	0
347	Swalot	Poison	100	73	83	73	83	55	3	0
348	Carvanha	Water	45	90	20	65	20	65	3	0
349	Sharpedo	Water	70	120	40	95	40	95	3	0
350	SharpedoMega Sharpedo	Water	70	140	70	110	65	105	3	0
351	Wailmer	Water	130	70	35	70	35	60	3	0
352	Wailord	Water	170	90	45	90	45	60	3	0
353	Numel	Fire	60	60	40	65	45	35	3	0
354	Camerupt	Fire	70	100	70	105	75	40	3	0
355	CameruptMega Camerupt	Fire	70	120	100	145	105	20	3	0
356	Torkoal	Fire	70	85	140	85	70	20	3	0
357	Spoink	Psychic	60	25	35	70	80	60	3	0
358	Grumpig	Psychic	80	45	65	90	110	80	3	0
359	Spinda	Normal	60	60	60	60	60	60	3	0
360	Trapinch	Ground	45	100	45	45	45	10	3	0
361	Vibrava	Ground	50	70	50	50	50	70	3	0
362	Flygon	Ground	80	100	80	80	80	100	3	0
363	Cacnea	Grass	50	85	40	85	40	35	3	0
364	Cacturne	Grass	70	115	60	115	60	55	3	0
365	Swablu	Normal	45	40	60	40	75	50	3	0
366	Altaria	Dragon	75	70	90	70	105	80	3	0
367	AltariaMega Altaria	Dragon	75	110	110	110	105	80	3	0
368	Zangoose	Normal	73	115	60	60	60	90	3	0
369	Seviper	Poison	73	100	60	100	60	65	3	0
370	Lunatone	Rock	70	55	65	95	85	70	3	0
371	Solrock	Rock	70	95	85	55	65	70	3	0
372	Barboach	Water	50	48	43	46	41	60	3	0
373	Whiscash	Water	110	78	73	76	71	60	3	0
374	Corphish	Water	43	80	65	50	35	35	3	0
375	Crawdaunt	Water	63	120	85	90	55	55	3	0
376	Baltoy	Ground	40	40	55	40	70	55	3	0
377	Claydol	Ground	60	70	105	70	120	75	3	0
378	Lileep	Rock	66	41	77	61	87	23	3	0
379	Cradily	Rock	86	81	97	81	107	43	3	0
380	Anorith	Rock	45	95	50	40	50	75	3	0
381	Armaldo	Rock	75	125	100	70	80	45	3	0
382	Feebas	Water	20	15	20	10	55	80	3	0
383	Milotic	Water	95	60	79	100	125	81	3	0
384	Castform	Normal	70	70	70	70	70	70	3	0
385	Kecleon	Normal	60	90	70	60	120	40	3	0
386	Shuppet	Ghost	44	75	35	63	33	45	3	0
387	Banette	Ghost	64	115	65	83	63	65	3	0
388	BanetteMega Banette	Ghost	64	165	75	93	83	75	3	0
389	Duskull	Ghost	20	40	90	30	90	25	3	0
390	Dusclops	Ghost	40	70	130	60	130	25	3	0
391	Tropius	Grass	99	68	83	72	87	51	3	0
392	Chimecho	Psychic	65	50	70	95	80	65	3	0
393	Absol	Dark	65	130	60	75	60	75	3	0
394	AbsolMega Absol	Dark	65	150	60	115	60	115	3	0
395	Wynaut	Psychic	95	23	48	23	48	23	3	0
396	Snorunt	Ice	50	50	50	50	50	50	3	0
397	Glalie	Ice	80	80	80	80	80	80	3	0
398	GlalieMega Glalie	Ice	80	120	80	120	80	100	3	0
399	Spheal	Ice	70	40	50	55	50	25	3	0
400	Sealeo	Ice	90	60	70	75	70	45	3	0
401	Walrein	Ice	110	80	90	95	90	65	3	0
402	Clamperl	Water	35	64	85	74	55	32	3	0
403	Huntail	Water	55	104	105	94	75	52	3	0
404	Gorebyss	Water	55	84	105	114	75	52	3	0
405	Relicanth	Water	100	90	130	45	65	55	3	0
406	Luvdisc	Water	43	30	55	40	65	97	3	0
407	Bagon	Dragon	45	75	60	40	30	50	3	0
408	Shelgon	Dragon	65	95	100	60	50	50	3	0
409	Salamence	Dragon	95	135	80	110	80	100	3	0
410	SalamenceMega Salamence	Dragon	95	145	130	120	90	120	3	0
411	Beldum	Steel	40	55	80	35	60	30	3	0
412	Metang	Steel	60	75	100	55	80	50	3	0
413	Metagross	Steel	80	135	130	95	90	70	3	0
414	MetagrossMega Metagross	Steel	80	145	150	105	110	110	3	0
415	Regirock	Rock	80	100	200	50	100	50	3	1
416	Regice	Ice	80	50	100	100	200	50	3	1
417	Registeel	Steel	80	75	150	75	150	50	3	1
418	Latias	Dragon	80	80	90	110	130	110	3	1
419	LatiasMega Latias	Dragon	80	100	120	140	150	110	3	1
420	Latios	Dragon	80	90	80	130	110	110	3	1
421	LatiosMega Latios	Dragon	80	130	100	160	120	110	3	1
422	Kyogre	Water	100	100	90	150	140	90	3	1
423	KyogrePrimal Kyogre	Water	100	150	90	180	160	90	3	1
424	Groudon	Ground	100	150	140	100	90	90	3	1
425	GroudonPrimal Groudon	Ground	100	180	160	150	90	90	3	1
426	Rayquaza	Dragon	105	150	90	150	90	95	3	1
427	RayquazaMega Rayquaza	Dragon	105	180	100	180	100	115	3	1
428	Jirachi	Steel	100	100	100	100	100	100	3	1
429	DeoxysNormal Forme	Psychic	50	150	50	150	50	150	3	1
430	DeoxysAttack Forme	Psychic	50	180	20	180	20	150	3	1
431	DeoxysDefense Forme	Psychic	50	70	160	70	160	90	3	1
432	DeoxysSpeed Forme	Psychic	50	95	90	95	90	180	3	1
433	Turtwig	Grass	55	68	64	45	55	31	4	0
434	Grotle	Grass	75	89	85	55	65	36	4	0
435	Torterra	Grass	95	109	105	75	85	56	4	0
436	Chimchar	Fire	44	58	44	58	44	61	4	0
437	Monferno	Fire	64	78	52	78	52	81	4	0
438	Infernape	Fire	76	104	71	104	71	108	4	0
439	Piplup	Water	53	51	53	61	56	40	4	0
440	Prinplup	Water	64	66	68	81	76	50	4	0
441	Empoleon	Water	84	86	88	111	101	60	4	0
442	Starly	Normal	40	55	30	30	30	60	4	0
443	Staravia	Normal	55	75	50	40	40	80	4	0
444	Staraptor	Normal	85	120	70	50	60	100	4	0
445	Bidoof	Normal	59	45	40	35	40	31	4	0
446	Bibarel	Normal	79	85	60	55	60	71	4	0
447	Kricketot	Bug	37	25	41	25	41	25	4	0
448	Kricketune	Bug	77	85	51	55	51	65	4	0
449	Shinx	Electric	45	65	34	40	34	45	4	0
450	Luxio	Electric	60	85	49	60	49	60	4	0
451	Luxray	Electric	80	120	79	95	79	70	4	0
452	Budew	Grass	40	30	35	50	70	55	4	0
453	Roserade	Grass	60	70	65	125	105	90	4	0
454	Cranidos	Rock	67	125	40	30	30	58	4	0
455	Rampardos	Rock	97	165	60	65	50	58	4	0
456	Shieldon	Rock	30	42	118	42	88	30	4	0
457	Bastiodon	Rock	60	52	168	47	138	30	4	0
458	Burmy	Bug	40	29	45	29	45	36	4	0
459	WormadamPlant Cloak	Bug	60	59	85	79	105	36	4	0
460	WormadamSandy Cloak	Bug	60	79	105	59	85	36	4	0
461	WormadamTrash Cloak	Bug	60	69	95	69	95	36	4	0
462	Mothim	Bug	70	94	50	94	50	66	4	0
463	Combee	Bug	30	30	42	30	42	70	4	0
464	Vespiquen	Bug	70	80	102	80	102	40	4	0
465	Pachirisu	Electric	60	45	70	45	90	95	4	0
466	Buizel	Water	55	65	35	60	30	85	4	0
467	Floatzel	Water	85	105	55	85	50	115	4	0
468	Cherubi	Grass	45	35	45	62	53	35	4	0
469	Cherrim	Grass	70	60	70	87	78	85	4	0
470	Shellos	Water	76	48	48	57	62	34	4	0
471	Gastrodon	Water	111	83	68	92	82	39	4	0
472	Ambipom	Normal	75	100	66	60	66	115	4	0
473	Drifloon	Ghost	90	50	34	60	44	70	4	0
474	Drifblim	Ghost	150	80	44	90	54	80	4	0
475	Buneary	Normal	55	66	44	44	56	85	4	0
476	Lopunny	Normal	65	76	84	54	96	105	4	0
477	LopunnyMega Lopunny	Normal	65	136	94	54	96	135	4	0
478	Mismagius	Ghost	60	60	60	105	105	105	4	0
479	Honchkrow	Dark	100	125	52	105	52	71	4	0
480	Glameow	Normal	49	55	42	42	37	85	4	0
481	Purugly	Normal	71	82	64	64	59	112	4	0
482	Chingling	Psychic	45	30	50	65	50	45	4	0
483	Stunky	Poison	63	63	47	41	41	74	4	0
484	Skuntank	Poison	103	93	67	71	61	84	4	0
485	Bronzor	Steel	57	24	86	24	86	23	4	0
486	Bronzong	Steel	67	89	116	79	116	33	4	0
487	Bonsly	Rock	50	80	95	10	45	10	4	0
488	Mime Jr.	Psychic	20	25	45	70	90	60	4	0
489	Happiny	Normal	100	5	5	15	65	30	4	0
490	Chatot	Normal	76	65	45	92	42	91	4	0
