Persona	Sexo	Edad	Antigüedad	Hijos	Ingresos	Automóvil	Seguro
147	1	59	6	0	3978	1	1
148	0	47	1	1	3237	0	1
149	0	24	2	1	2408	1	1
150	1	63	6	5	1008	0	0
151	1	32	5	3	3244	1	1
152	0	64	1	3	1329	0	0
153	0	57	5	1	1369	0	0
154	1	25	2	0	3854	0	1
155	1	37	5	5	1449	1	0
156	0	39	3	4	2702	1	1
157	0	45	5	1	3399	1	1
158	0	56	2	1	1598	0	0
159	1	64	2	4	2877	0	1
160	0	26	3	5	1612	1	0
161	0	56	1	4	1573	1	0
162	1	53	6	3	2706	1	1
163	0	57	1	5	3018	1	1
164	1	55	3	2	2992	0	1
165	1	64	4	2	3725	0	1
166	1	46	6	2	3733	1	1
167	0	53	3	4	2995	0	1
168	1	40	1	3	2831	0	1
169	0	59	2	0	3937	1	1
170	1	43	3	3	1723	1	0
171	1	61	4	1	2586	0	1
172	0	61	1	5	1970	1	0
173	0	63	5	4	1863	1	0
174	0	38	3	5	1454	1	0
175	1	28	6	1	1910	0	0
176	0	58	2	0	1807	0	0
177	0	28	6	2	1790	1	0
178	0	49	4	3	3212	1	1
179	1	31	4	5	2783	1	1
180	0	59	4	4	3015	1	1
181	1	36	6	4	1269	1	0
182	1	33	2	2	3179	0	1
183	1	33	5	1	880	1	0
184	0	64	6	0	1712	1	0
185	1	25	6	1	2597	1	1
186	0	45	1	3	992	1	0
187	1	53	5	5	3518	0	1
188	0	47	2	5	1324	1	0
189	1	33	4	0	3186	1	1
190	1	47	4	1	2276	0	1
191	0	25	3	0	3607	1	1
192	0	24	5	1	2006	0	1
193	0	56	2	1	913	0	0
194	0	61	6	3	3638	1	1
195	0	45	2	0	2769	1	1
196	1	39	1	2	3810	1	1
197	1	26	2	0	958	1	0
198	1	40	4	0	3076	1	1
199	0	44	3	0	1850	1	0
200	0	47	5	3	1767	0	0
201	0	60	6	5	1049	0	0
202	0	40	1	2	1972	1	0
203	1	55	3	5	1224	1	0
204	0	29	6	3	3154	1	1
205	0	50	2	2	1519	0	0
206	0	57	1	1	2902	0	1
207	0	27	2	4	2080	1	1
208	1	28	5	0	2070	1	1
209	0	54	2	1	1841	1	0
210	1	45	5	5	3669	1	1
211	0	32	2	0	2766	1	1
212	1	61	1	4	1846	1	0
213	0	40	3	2	1811	1	0
214	0	27	3	4	1538	0	0
215	1	63	3	4	2196	0	1
216	1	52	6	0	1723	0	0
217	0	28	4	3	1931	0	0
218	1	38	3	2	1385	0	0
219	1	63	1	2	3971	0	1
220	1	47	3	1	3427	0	1
221	0	52	1	0	1887	0	0
222	1	57	1	5	1919	1	0
223	1	32	6	4	2306	0	1
224	0	54	6	5	3205	1	1
225	1	46	1	3	1509	0	0
226	0	64	3	4	1918	1	0
227	0	38	2	0	3827	1	1
228	1	48	6	4	2489	1	1
229	1	32	6	1	2572	0	1
230	0	28	1	4	3177	0	1
231	1	37	5	0	1016	1	0
232	0	29	3	0	1069	0	0
233	0	41	1	3	2138	1	1
234	0	51	3	3	1580	0	0
235	0	53	2	0	2880	1	1
236	0	62	1	1	1259	1	0
237	0	39	3	5	2985	1	1
238	0	36	5	5	2651	1	1
239	1	35	4	0	2957	0	1
240	0	31	1	5	1338	1	0
241	1	38	2	4	2474	1	1
242	1	33	5	0	3394	0	1
243	0	50	6	2	3043	0	1
244	1	51	2	0	3669	0	1
245	0	47	2	3	1353	1	0
246	0	39	1	2	2467	0	1
247	1	38	1	2	3158	0	1
248	0	45	4	5	2136	1	1
249	1	39	3	5	895	1	0
250	1	47	5	3	3135	1	1
251	1	45	3	4	3873	0	1
252	0	44	6	1	1321	0	0
253	0	31	3	2	1444	1	0
254	0	32	2	5	3557	1	1
255	0	60	5	1	3588	0	1
256	1	27	6	4	2400	0	1
257	0	25	4	4	1743	1	0
258	0	27	1	3	3146	1	1
259	1	63	3	2	2226	0	1
260	0	57	3	5	3542	1	1
261	1	50	3	4	3392	0	1
262	0	44	2	2	2739	0	1
263	0	31	5	2	3560	0	1
264	1	39	1	4	1212	1	0
265	1	48	3	3	3169	1	1
266	1	61	4	2	992	0	0
267	0	63	6	0	1266	0	0
268	1	60	6	2	2005	0	1
269	0	26	6	5	3339	1	1
270	1	54	1	3	2375	0	1
271	1	49	3	3	1374	1	0
272	0	25	3	2	3057	1	1
273	0	62	6	0	2389	1	1
274	1	33	1	4	3324	0	1
275	0	34	4	4	3770	1	1
276	1	50	1	2	2321	1	1
277	1	51	1	3	2953	1	1
278	1	47	5	4	2389	1	1
279	0	42	2	3	3478	0	1
280	1	47	2	2	3634	1	1
281	0	48	4	5	3343	0	1
282	1	48	5	1	2342	1	1
283	0	33	6	3	2452	0	1
284	0	25	2	5	1650	1	0
285	0	50	2	0	2466	1	1
286	1	51	6	3	2235	1	1
287	1	48	6	1	3262	0	1
288	1	38	6	2	1528	1	0
289	1	24	2	0	2490	0	1
290	1	34	6	2	3956	1	1
291	1	47	2	1	1403	1	0
292	0	30	6	1	2834	1	1
293	0	48	6	3	1161	1	0
294	0	32	6	2	2184	1	1
295	1	26	4	2	1037	1	0
296	0	50	2	1	3843	0	1
297	0	33	2	0	2934	1	1
298	0	57	5	2	3252	0	1
299	1	39	6	4	2892	1	1
300	1	25	4	0	2531	0	1
301	0	57	5	0	3870	1	1
302	1	39	4	5	3109	0	1
303	1	44	6	3	3844	0	1
304	0	58	5	2	2333	0	1
305	0	40	6	4	935	1	0
306	0	37	5	1	2837	1	1
307	0	35	6	2	1829	1	0
308	0	36	6	3	3538	1	1
309	1	44	6	2	3670	0	1
310	0	59	2	0	2084	1	1
311	0	59	6	0	3498	0	1
312	1	50	4	0	882	1	0
313	1	51	1	0	3692	1	1
314	1	63	1	0	1202	0	0
315	1	38	5	4	3196	0	1
316	1	33	2	2	3197	1	1
317	0	37	1	4	937	0	0
318	0	24	2	2	2000	0	0
319	0	33	4	1	3351	1	1
320	0	29	4	3	1797	0	0
321	0	59	6	0	1490	1	0
322	1	62	2	5	2447	0	1
323	0	37	6	0	3172	1	1
324	1	40	4	1	955	0	0
325	1	34	3	4	1471	1	0
326	1	59	3	0	925	0	0
327	0	50	6	3	1997	0	0
328	1	64	1	0	3637	1	1
329	0	64	4	0	2565	0	1
330	0	57	6	1	2394	0	1
331	0	53	2	1	3882	1	1
332	1	38	6	5	2260	1	1
333	0	44	6	4	3149	1	1
334	1	46	3	5	1798	0	0
335	0	60	5	3	891	1	0
336	1	52	3	3	2792	1	1
337	0	36	6	0	2820	1	1
338	0	33	3	5	1559	1	0
339	1	63	6	4	3967	0	1
340	0	62	5	2	2672	1	1
341	0	40	5	1	2185	0	1
342	0	44	6	4	885	1	0
343	1	38	1	5	2451	0	1
344	1	39	2	3	1382	0	0
345	0	44	6	0	2595	1	1
346	0	50	1	2	2447	0	1
347	1	63	3	2	3153	1	1
348	0	62	1	1	3463	0	1
349	0	58	5	5	3798	1	1
350	0	58	5	1	1524	1	0
351	1	64	2	5	2991	1	1
352	1	56	4	4	2909	0	1
353	1	46	4	4	1963	1	0
354	0	25	5	1	1525	1	0
355	1	35	5	5	3878	1	1
356	1	30	5	5	2990	1	1
357	1	32	5	2	3419	1	1
358	0	29	2	2	3056	1	1
359	1	25	4	2	1936	0	0
360	1	48	5	1	3441	0	1
361	0	43	3	5	3627	0	1
362	0	63	5	0	3100	0	1
363	0	31	1	3	1645	1	0
364	0	41	1	4	3862	0	1
365	0	52	2	4	1413	0	0
366	0	34	4	4	1958	0	0
367	1	30	4	1	1707	0	0
368	1	49	3	1	2487	0	1
369	0	27	6	2	3330	0	1
370	1	30	6	3	1749	0	0
371	0	31	5	0	3162	0	1
372	1	39	6	2	2609	0	1
373	0	32	2	4	1847	1	0
374	0	43	6	0	3995	1	1
375	1	56	1	3	3392	0	1
376	1	63	3	2	2986	1	1
377	0	28	4	3	2658	0	1
378	1	64	5	1	3747	0	1
379	0	54	3	4	3838	1	1
380	0	44	2	4	2732	1	1
381	1	53	3	1	1494	0	0
382	1	55	1	5	1508	0	0
383	1	57	2	4	3058	1	1
384	0	64	3	3	2870	0	1
385	0	45	4	0	3245	1	1
386	0	58	2	4	2289	1	1
387	0	24	3	0	3021	0	1
388	0	38	4	2	2795	0	1
389	0	30	6	3	1448	0	0
390	0	60	1	4	2148	0	1
391	0	43	1	5	1424	1	0
392	0	32	3	1	3720	1	1
393	0	24	2	1	3427	0	1
394	1	43	4	2	3805	0	1
395	1	54	2	1	2063	0	1
396	0	47	5	5	3305	0	1
397	1	28	6	5	2940	1	1
398	1	34	1	5	3136	0	1
399	1	55	5	3	1872	0	0
400	0	34	5	0	2586	0	1
401	0	42	2	4	2344	0	1
402	0	46	2	4	3560	1	1
403	0	28	5	2	3289	1	1
404	0	60	6	0	2685	0	1
405	0	52	5	3	1367	0	0
406	0	57	5	0	2492	0	1
407	0	30	4	5	1182	0	0
408	0	25	3	0	3153	1	1
409	1	38	5	5	1951	0	0
410	1	24	2	2	1346	0	0
411	0	59	6	5	2972	0	1
412	1	51	4	3	3486	0	1
413	1	49	6	4	3712	1	1
414	1	32	3	4	2646	1	1
415	0	36	6	2	3414	1	1
416	0	28	4	5	2273	1	1
417	0	60	4	5	2233	1	1
418	1	50	1	5	1560	0	0
419	0	64	4	1	2615	1	1
420	1	55	5	5	1670	0	0
421	1	38	3	4	3283	0	1
422	1	34	6	5	3931	0	1
423	0	47	1	1	1283	0	0
424	0	56	2	2	3717	1	1
425	1	54	3	5	2251	0	1
426	0	40	3	3	2584	1	1
427	1	34	3	3	3062	0	1
428	0	64	5	5	3240	0	1
429	0	61	4	0	1408	1	0
430	1	26	1	3	1208	1	0
431	0	44	3	2	3621	0	1
432	1	46	4	0	1907	0	0
433	0	34	4	0	988	1	0
434	1	32	2	1	2112	1	1
435	0	41	6	0	1380	0	0
436	0	40	3	5	3886	1	1
437	0	62	4	1	2533	0	1
438	1	63	3	4	3880	1	1
439	0	52	2	3	3147	0	1
440	1	41	6	2	1696	1	0
441	0	48	2	3	1765	1	0
442	0	26	5	4	1558	0	0
443	1	32	2	0	1433	0	0
444	1	34	6	0	2082	0	1
445	1	63	6	2	2032	1	1
446	0	41	5	1	1760	1	0
447	1	25	3	3	1534	1	0
448	0	44	5	0	2500	0	1
449	0	32	6	2	1157	1	0
450	1	29	5	0	2394	1	1
451	0	28	2	4	3491	0	1
452	0	43	5	5	1861	1	0
453	1	64	6	5	1941	1	0
454	1	54	3	3	1024	1	0
455	0	48	2	3	3199	0	1
456	0	37	4	1	1569	1	0
457	0	39	1	0	2756	0	1
458	1	30	3	2	2776	0	1
459	1	37	6	0	2558	1	1
460	1	24	4	3	1470	0	0
461	0	30	6	1	3370	0	1
462	1	29	5	2	1733	0	0
463	0	47	1	2	2798	0	1
464	0	54	2	4	1588	1	0
465	1	37	3	3	2940	1	1
466	1	43	2	4	3103	1	1
467	1	55	3	4	2930	1	1
468	1	53	4	3	1121	1	0
469	0	39	3	1	3834	1	1
470	1	51	3	1	2787	1	1
471	1	26	5	2	2672	0	1
472	0	63	6	2	1233	1	0
473	1	30	1	0	1858	0	0
474	0	43	1	2	1419	1	0
475	0	58	2	1	3933	0	1
476	0	40	2	0	1627	1	0
477	0	60	6	5	1821	0	0
478	0	29	3	3	3857	1	1
479	1	27	2	5	2828	1	1
480	0	45	4	3	2177	0	1
481	0	55	2	0	1819	1	0
482	1	49	6	1	3819	0	1
483	1	35	3	3	1872	0	0
484	0	32	1	3	3156	1	1
485	0	62	2	5	2055	0	1
486	1	30	1	1	2728	1	1
487	0	54	5	1	1309	1	0
488	0	32	6	1	2295	1	1
489	1	51	5	0	1539	0	0
490	1	60	4	0	1165	0	0
491	0	42	2	4	2036	1	1
492	0	57	6	5	2641	0	1
493	0	25	5	0	2507	0	1
494	0	31	3	0	1218	1	0
495	0	28	5	3	3572	0	1
496	0	30	2	1	2126	0	1
497	0	55	6	2	1685	1	0
498	1	39	4	3	2314	1	1
499	0	31	3	0	3801	0	1
500	1	61	1	1	1318	0	0
501	1	40	6	3	1192	1	0
502	0	46	3	0	2425	1	1
503	0	38	3	2	3750	0	1
504	0	52	6	5	3999	1	1
505	1	30	5	2	2013	1	1
506	1	45	4	1	3981	1	1
507	0	31	1	1	2374	0	1
508	1	61	6	1	3927	0	1
509	1	43	3	0	3723	1	1
510	1	29	6	3	2005	0	1
511	0	63	2	1	1987	0	0
512	0	60	2	3	1449	1	0
513	1	58	6	1	1809	0	0
514	1	26	5	2	2306	0	1
515	1	37	4	0	889	0	0
516	0	33	3	1	2256	0	1
517	0	54	5	4	3717	0	1
518	0	27	6	1	2386	0	1
519	0	32	1	4	1881	0	0
520	1	46	5	4	3240	1	1
521	0	41	2	5	3666	1	1
522	1	34	3	5	3634	0	1
523	1	44	2	3	2543	1	1
524	0	26	3	4	3855	0	1
525	0	30	1	5	2666	0	1
526	0	38	5	2	1618	1	0
527	1	32	5	5	3624	0	1
528	1	26	4	2	3036	1	1
529	0	27	3	3	1414	1	0
530	0	26	4	5	2700	0	1
531	1	48	2	5	2605	1	1
532	0	60	1	0	3676	1	1
533	1	30	5	5	3330	1	1
534	1	41	2	4	3092	0	1
535	1	56	5	2	2274	0	1
536	1	35	1	0	2073	0	1
537	1	63	1	3	1068	0	0
538	1	43	3	0	2068	1	1
539	0	58	2	0	1148	1	0
540	0	28	1	1	2825	1	1
541	1	42	3	5	1959	0	0
542	1	48	2	5	3420	0	1
543	0	41	3	3	1316	0	0
544	1	48	5	2	1878	1	0
545	1	61	3	3	1011	1	0
546	0	61	5	1	1796	0	0
547	0	63	1	5	2132	1	1
548	0	52	3	4	3672	0	1
549	0	47	4	4	3348	1	1
550	1	29	3	0	3577	1	1
551	0	39	5	2	3907	0	1
552	1	39	1	0	2512	0	1
553	0	33	1	1	3879	0	1
554	0	60	5	1	2355	1	1
555	0	54	1	4	3005	1	1
556	0	44	4	1	3708	1	1
557	1	51	5	4	1804	0	0
558	1	60	5	5	1348	1	0
559	0	63	3	3	2059	1	1
560	0	63	6	2	1872	1	0
561	0	49	1	5	2653	1	1
562	0	44	4	5	975	0	0
563	1	56	6	4	1707	1	0
564	1	55	2	4	2811	0	1
565	1	38	5	4	2354	0	1
566	1	26	1	0	936	0	0
567	0	47	6	4	3049	1	1
568	1	59	2	1	3154	1	1
569	0	60	1	0	1487	1	0
570	1	62	2	0	3096	0	1
571	1	34	1	2	2268	1	1
572	0	43	3	1	2724	0	1
573	1	52	5	1	2320	1	1
574	1	41	4	4	3942	0	1
575	0	60	2	3	1902	1	0
576	1	43	3	1	3332	1	1
577	0	28	6	0	3648	0	1
578	1	40	1	5	2641	1	1
579	0	30	3	3	2204	1	1
580	0	26	2	5	2939	1	1
581	1	32	6	3	3173	1	1
582	1	47	6	4	2856	1	1
583	0	53	2	2	1285	0	0
584	1	56	6	4	3760	1	1
585	0	37	5	5	2961	1	1
586	0	35	6	1	2509	1	1
587	1	41	2	3	2170	1	1
588	1	49	5	0	3367	0	1
589	1	24	3	3	2572	1	1
590	0	39	5	3	1774	1	0
591	0	63	2	0	2524	0	1
592	1	25	4	5	2177	1	1
593	0	32	2	5	3207	1	1
594	1	62	3	4	2453	0	1
595	0	55	4	4	3032	0	1
596	0	41	4	5	2825	0	1
597	1	64	4	4	1790	1	0
598	0	32	2	2	1714	1	0
599	1	34	1	0	3700	1	1
600	0	29	5	3	3455	0	1
601	1	33	4	0	3918	1	1
602	0	25	4	1	2641	1	1
603	0	42	1	1	3663	0	1
604	1	30	6	4	2490	0	1
605	1	48	2	1	1196	1	0
606	0	34	4	4	3165	1	1
607	1	56	3	0	2334	1	1
608	1	53	5	3	1521	0	0
609	0	41	5	3	3733	1	1
610	1	45	6	4	3807	0	1
611	0	61	4	1	3450	1	1
612	0	24	2	3	2809	0	1
613	1	33	4	0	1552	1	0
614	1	59	4	2	1020	1	0
615	1	26	4	1	1430	1	0
616	0	39	3	3	3305	1	1
617	1	50	1	2	2251	0	1
618	1	38	2	0	1469	1	0
619	1	54	3	0	2219	1	1
620	0	37	3	2	2395	0	1
621	1	41	3	3	3305	0	1
622	0	31	4	1	1559	0	0
623	0	64	3	1	3516	1	1
624	0	25	4	4	3795	0	1
625	0	57	1	4	1353	0	0
626	0	60	6	3	2459	0	1
627	0	54	6	0	3418	1	1
628	1	41	3	5	2085	0	1
629	0	62	5	2	1209	1	0
630	1	24	3	5	1124	0	0
631	0	63	1	1	1747	1	0
632	1	51	6	5	2155	1	1
633	0	38	2	5	2460	1	1
634	1	55	6	2	2443	0	1
635	1	47	2	1	2400	0	1
636	0	50	6	1	3611	0	1
637	0	55	4	3	1962	0	0
638	1	39	2	3	2378	0	1
639	0	29	5	3	3500	1	1
640	0	34	2	5	1059	1	0
641	1	51	1	2	1463	0	0
642	1	27	4	0	1106	0	0
643	0	24	6	3	2533	1	1
644	0	28	4	2	1794	1	0
645	0	43	3	2	1971	1	0
646	0	51	2	3	1692	0	0
647	0	41	4	3	1871	1	0
648	1	53	4	2	2841	1	1
649	1	58	4	4	3420	0	1
650	1	47	1	1	918	0	0
651	1	48	3	0	2682	1	1
652	1	46	6	0	3256	1	1
653	0	32	1	0	2536	1	1
654	0	34	4	1	3457	0	1
655	0	60	1	5	1508	0	0
656	1	43	6	1	1868	0	0
657	0	55	3	2	1432	1	0
658	0	37	4	0	1939	0	0
659	0	60	1	3	2632	1	1
660	0	56	5	2	2776	1	1
661	1	46	6	0	3078	0	1
662	1	50	4	1	2543	1	1
663	1	58	5	4	2525	0	1
664	1	44	2	0	1911	1	0
665	0	62	4	4	3969	0	1
666	1	29	1	1	3453	0	1
667	0	55	3	2	3383	0	1
668	0	56	2	4	1458	1	0
669	1	37	2	4	3156	1	1
670	1	62	1	5	3107	1	1
671	1	49	1	3	3658	0	1
672	0	44	2	0	1562	1	0
673	1	28	4	0	2751	1	1
674	0	40	4	5	3431	1	1
675	0	61	2	3	3308	0	1
676	0	59	4	3	1001	0	0
677	1	26	6	4	3813	0	1
678	0	35	3	0	3803	1	1
679	1	46	5	0	1722	0	0
680	0	41	1	2	1285	0	0
681	1	57	1	1	2663	0	1
682	1	54	1	3	3978	0	1
683	0	44	2	1	3533	0	1
684	1	30	2	2	1205	0	0
685	0	29	5	3	2472	0	1
686	1	37	4	3	2312	0	1
687	1	32	5	0	3372	1	1
688	1	38	2	0	3678	1	1
689	1	35	5	2	2609	0	1
690	0	34	4	5	3010	0	1
691	1	58	4	5	2913	1	1
692	1	28	3	2	3517	1	1
693	1	59	4	0	3402	0	1
694	1	61	6	2	1266	1	0
695	1	40	3	0	3735	1	1
696	0	36	4	0	2501	0	1
697	0	24	1	4	2915	1	1
698	0	53	3	4	1555	1	0
699	0	40	4	5	3288	1	1
